OrderNumber,LineItem,OrderDate,DeliveryDate,CustomerKey,StoreKey,ProductKey,Quantity,CurrencyCode,Exchange
366000,1,"2016-01-01 00:00:00","2020-01-06 00:00:00",265598,10,1304,1,CAD,1.2976
366001,1,"2016-01-01 00:00:00","2016-01-13 00:00:00",1269051,0,1048,2,USD,1
366001,2,"2016-01-01 00:00:00","2016-01-13 00:00:00",1269051,0,2007,1,USD,1
366002,1,"2016-01-01 00:00:00","2016-01-12 00:00:00",266019,0,1106,7,CAD,1.4184
366002,2,"2016-01-01 00:00:00","2016-01-12 00:00:00",266019,0,373,1,CAD,1.4184
366002,3,"2016-01-01 00:00:00","2016-01-12 00:00:00",266019,0,1080,4,CAD,1.4184
366004,1,"2016-01-01 00:00:00","2020-01-06 00:00:00",1107461,38,163,6,GBP,0.7613
366004,2,"2016-01-01 00:00:00","2020-01-06 00:00:00",1107461,38,1529,2,GBP,0.7613
366005,1,"2016-01-01 00:00:00","2020-01-06 00:00:00",844003,33,421,4,EUR,0.8933
366007,1,"2016-01-01 00:00:00","2020-01-06 00:00:00",2035771,43,1617,1,USD,1
366007,2,"2016-01-01 00:00:00","2020-01-06 00:00:00",2035771,43,666,5,USD,1
366008,1,"2016-01-01 00:00:00","2020-01-06 00:00:00",759705,29,1154,9,EUR,0.8933
366008,2,"2016-01-01 00:00:00","2020-01-06 00:00:00",759705,29,2510,1,EUR,0.8933
366008,3,"2016-01-01 00:00:00","2020-01-06 00:00:00",759705,29,1060,5,EUR,0.8933
366009,1,"2016-01-01 00:00:00","2020-01-06 00:00:00",254540,9,1648,1,CAD,1.2976
366010,1,"2016-01-01 00:00:00","2016-01-08 00:00:00",370077,0,618,5,CAD,1.4106
366011,1,"2016-01-01 00:00:00","2020-01-06 00:00:00",1984985,66,128,7,USD,1
366011,2,"2016-01-01 00:00:00","2020-01-06 00:00:00",1984985,66,1638,1,USD,1
366011,3,"2016-01-01 00:00:00","2020-01-06 00:00:00",1984985,66,1634,1,USD,1
366011,4,"2016-01-01 00:00:00","2020-01-06 00:00:00",1984985,66,2392,3,USD,1
366012,1,"2016-01-01 00:00:00","2020-01-06 00:00:00",1977527,65,1807,1,USD,1
366012,2,"2016-01-01 00:00:00","2020-01-06 00:00:00",1977527,65,1594,4,USD,1
366012,3,"2016-01-01 00:00:00","2020-01-06 00:00:00",1977527,65,1297,1,USD,1
366013,1,"2016-01-01 00:00:00","2020-01-06 00:00:00",1187306,41,1654,5,GBP,0.7613
366014,1,"2016-01-01 00:00:00","2016-01-06 00:00:00",738549,0,123,1,EUR,0.9309
366014,2,"2016-01-01 00:00:00","2016-01-06 00:00:00",738549,0,1700,2,EUR,0.9309
366016,1,"2016-01-01 00:00:00","2020-01-06 00:00:00",1982762,63,1253,7,USD,1
367000,1,"2016-01-02 00:00:00","2020-01-06 00:00:00",1438050,56,1176,1,USD,1
367003,1,"2016-01-02 00:00:00","2020-01-06 00:00:00",980164,40,153,2,GBP,0.7613
367004,1,"2016-01-02 00:00:00","2020-01-06 00:00:00",1853699,56,136,1,USD,1
367004,2,"2016-01-02 00:00:00","2020-01-06 00:00:00",1853699,56,1637,4,USD,1
367005,1,"2016-01-02 00:00:00","2016-01-10 00:00:00",758280,0,1691,1,EUR,0.9207
367005,2,"2016-01-02 00:00:00","2016-01-10 00:00:00",758280,0,319,2,EUR,0.9207
367005,3,"2016-01-02 00:00:00","2016-01-10 00:00:00",758280,0,1674,8,EUR,0.9207
367005,4,"2016-01-02 00:00:00","2016-01-10 00:00:00",758280,0,2511,9,EUR,0.9207
367005,5,"2016-01-02 00:00:00","2016-01-10 00:00:00",758280,0,1720,2,EUR,0.9207
367005,6,"2016-01-02 00:00:00","2016-01-10 00:00:00",758280,0,1597,7,EUR,0.9207
367005,7,"2016-01-02 00:00:00","2016-01-10 00:00:00",758280,0,784,1,EUR,0.9207
367006,1,"2016-01-02 00:00:00","2020-01-06 00:00:00",693285,18,2445,3,EUR,0.8933
367007,1,"2016-01-02 00:00:00","2020-01-06 00:00:00",1730985,57,65,7,USD,1
367007,2,"2016-01-02 00:00:00","2020-01-06 00:00:00",1730985,57,1432,9,USD,1
367008,1,"2016-01-02 00:00:00","2020-01-06 00:00:00",763246,28,1951,3,EUR,0.8933
367009,1,"2016-01-02 00:00:00","2020-01-06 00:00:00",1512558,57,934,1,USD,1
367009,2,"2016-01-02 00:00:00","2020-01-06 00:00:00",1512558,57,930,8,USD,1
367009,3,"2016-01-02 00:00:00","2020-01-06 00:00:00",1512558,57,1436,5,USD,1
367009,4,"2016-01-02 00:00:00","2020-01-06 00:00:00",1512558,57,1547,3,USD,1
367009,5,"2016-01-02 00:00:00","2020-01-06 00:00:00",1512558,57,53,5,USD,1
367010,1,"2016-01-02 00:00:00","2020-01-06 00:00:00",1322959,66,917,1,USD,1
367010,2,"2016-01-02 00:00:00","2020-01-06 00:00:00",1322959,66,39,1,USD,1
367011,1,"2016-01-02 00:00:00","2020-01-06 00:00:00",507981,22,39,1,EUR,0.8933
367012,1,"2016-01-02 00:00:00","2020-01-06 00:00:00",209990,9,1653,5,CAD,1.2976
367012,2,"2016-01-02 00:00:00","2020-01-06 00:00:00",209990,9,145,3,CAD,1.2976
367013,1,"2016-01-02 00:00:00","2020-01-06 00:00:00",815458,31,1733,2,EUR,0.8933
367013,2,"2016-01-02 00:00:00","2020-01-06 00:00:00",815458,31,41,6,EUR,0.8933
367014,1,"2016-01-02 00:00:00","2020-01-06 00:00:00",1839627,56,1184,3,USD,1
367015,1,"2016-01-02 00:00:00","2020-01-06 00:00:00",911025,42,2296,7,GBP,0.7613
367016,1,"2016-01-02 00:00:00","2020-01-06 00:00:00",1633409,63,1487,1,USD,1
367016,2,"2016-01-02 00:00:00","2020-01-06 00:00:00",1633409,63,558,7,USD,1
367016,3,"2016-01-02 00:00:00","2020-01-06 00:00:00",1633409,63,206,3,USD,1
367017,1,"2016-01-02 00:00:00","2020-01-06 00:00:00",1612400,47,1203,4,USD,1
367018,1,"2016-01-02 00:00:00","2020-01-06 00:00:00",1301565,59,1245,2,USD,1
367018,2,"2016-01-02 00:00:00","2020-01-06 00:00:00",1301565,59,1973,4,USD,1
367018,3,"2016-01-02 00:00:00","2020-01-06 00:00:00",1301565,59,731,4,USD,1
367019,1,"2016-01-02 00:00:00","2020-01-06 00:00:00",793573,29,1947,2,EUR,0.8933
367019,2,"2016-01-02 00:00:00","2020-01-06 00:00:00",793573,29,1645,7,EUR,0.8933
367019,3,"2016-01-02 00:00:00","2020-01-06 00:00:00",793573,29,371,7,EUR,0.8933
367020,1,"2016-01-02 00:00:00","2020-01-06 00:00:00",799366,29,448,6,EUR,0.8933
367020,2,"2016-01-02 00:00:00","2020-01-06 00:00:00",799366,29,1975,1,EUR,0.8933
367021,1,"2016-01-02 00:00:00","2020-01-06 00:00:00",243917,10,1445,4,CAD,1.2976
367021,2,"2016-01-02 00:00:00","2020-01-06 00:00:00",243917,10,1624,6,CAD,1.2976
367021,3,"2016-01-02 00:00:00","2020-01-06 00:00:00",243917,10,1615,2,CAD,1.2976
367022,1,"2016-01-02 00:00:00","2020-01-06 00:00:00",942807,42,1596,1,GBP,0.7613
367022,2,"2016-01-02 00:00:00","2020-01-06 00:00:00",942807,42,1253,7,GBP,0.7613
367022,3,"2016-01-02 00:00:00","2020-01-06 00:00:00",942807,42,663,3,GBP,0.7613
367022,4,"2016-01-02 00:00:00","2020-01-06 00:00:00",942807,42,1194,6,GBP,0.7613
367023,1,"2016-01-02 00:00:00","2020-01-06 00:00:00",129318,2,1139,5,AUD,1.44
367023,2,"2016-01-02 00:00:00","2020-01-06 00:00:00",129318,2,1031,2,AUD,1.44
367024,1,"2016-01-02 00:00:00","2020-01-06 00:00:00",1713253,50,302,8,USD,1
